コンテキスト	条件	条件の説明	バリエーション	状態モデル
配信構成管理	書き込み完了判定	Producer が書き込み中のファイルは収集しない。サイズ・更新時刻が安定するまで待ち、除外パターンに該当するファイルは対象外とする。リモート GET 中も一時名でダウンロードし完了後に rename する	収集ソース種別	元ファイル収集状態
配信構成管理	元ファイル処理判定	収集後の元ファイルは GET 後 DELETE(回収)が既定。Topic 設定で「残す(copy)」を選択した場合は処理済み管理と照合し、処理済みのファイルは再収集しない	元ファイル処理方式	元ファイル収集状態
Archive管理	Archive保存必須	収集したファイルは配信(Fan-out)の前に必ず archive/ 配下へ Topic 別に保存する。Archive 保存が完了するまで配信を開始しない	""	メッセージ配送状態
メッセージ配送管理	message_id採番	同名ファイルの再出力は新しいメッセージとして扱い、message_id は収集時刻 + Topic + 元ファイル名から採番する。上書きで履歴を失わない	""	""
配信構成管理	全Subscription同報配信	Topic に収集されたファイルは、その Topic の全 Subscription のディレクトリへ同一内容で複製する。Subscription ごとに配送は独立し、一方の取得・削除は他方に影響しない	Subscription種別、Consumer取り込みタイミング	""
メッセージ配送管理	Fan-out処理順序	メッセージの順序保証はせず、Fan-out 配置はファイル名昇順で処理する。取り込み順序の制御は Consumer の責任とする	""	""
メッセージ配送管理	AtomicWrite配置	Subscription ディレクトリへの配置は一時名(file.csv.tmp)で書き込んでから正式名(file.csv)へ rename する。正式名のファイルは常に完全な内容であることを保証する	配信方式	""
メッセージ配送管理	二重配信防止	デーモンの再起動・処理中断後の再開では、Manifest の配送状態を参照し未配信の Subscription にのみ配信する。配信済みの Subscription へは重複配置しない	""	メッセージ配送状態
メッセージ配送管理	リトライ上限	配信失敗はリトライし、規定回数以内に成功すれば delivered とする。規定回数を超えたメッセージは DLQ へ隔離し Manifest に dlq として記録する	""	メッセージ配送状態
基盤運用管理	二重起動防止	デーモンは起動時に Lock を取得し、同じ構成で 2 つ目のデーモンは起動せず終了する。異常終了で残った stale lock からは安全に回復して処理を開始できる	""	Lock状態、デーモン稼働状態
基盤運用管理	graceful shutdown	停止シグナルを受けたら処理中のメッセージを完了してから停止する。中途半端な状態を残さない	""	デーモン稼働状態、メッセージ配送状態
Archive管理	Archive保持期間	Archive の保持期間を設定でき、retention 処理では期間を超過した Archive ファイルだけを安全に削除する	""	Archiveファイル保持状態
メッセージ配送管理	Replay記録	Archive からの再送(Replay)は Topic・期間(またはメッセージ指定)・宛先 Subscription を指定して実行し、指定した Subscription にのみ再配置する。Replay の配送履歴も Manifest に記録する	配信方式	メッセージ配送状態
