業務	BUC	先	アクティビティ	次	UC	関連モデル1	関連オブジェクト1	関連モデル2	関連オブジェクト2	説明	立場
ファイル配信業務	ファイルを収集して配信するフロー	""	配信構成を定義する	""	Topic・Subscriptionを設定する	情報	設定	""	""	単一 YAML 設定で Topic と Subscription の 2 概念により配信構成を定義する。収集ソース(FTP / SFTP / SCP / ローカルディレクトリ)は Topic ごとに切り替えられ、認証情報は環境変数参照(${ENV_VAR})や鍵ファイルパス指定で安全に扱う。後段(Archive / Fan-out / Manifest)はソース種別に依存しない	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信構成を定義する	""	Topic・Subscriptionを設定する	情報	Topic	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信構成を定義する	""	Topic・Subscriptionを設定する	情報	Subscription	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信構成を定義する	""	Topic・Subscriptionを設定する	情報	収集ソース	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信構成を定義する	""	Topic・Subscriptionを設定する	情報	認証情報	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	配信構成を定義する	""	Topic・Subscriptionを設定する	画面	配信構成定義画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	情報	Topic	""	""	常駐デーモンがポーリング間隔ごとにProducer出力ファイルをpull型(FTP/SFTP/SCP/ローカルディレクトリ)でList→Fetch→Delete収集するか、push受信(inbox)モードでProducerが受信ディレクトリへputしたファイルをfsnotifyイベント駆動+フォールバックポーリングのハイブリッドで取り込む。書き込み中のファイルは完了検知方式(安定判定/rename/doneマーカー)と除外パターンで収集せず、元ファイルは回収(pull型はGET後DELETE/push型は受信ディレクトリ削除)を既定にTopic設定で「残す(copy)」も選択でき、copy時は処理済み管理で重複収集を防ぐ。メッセージ配送状態を「収集済」へ遷移させる	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	情報	収集ソース	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	情報	認証情報	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	情報	メッセージ	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	情報	処理済み管理	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	条件	書き込み完了判定	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	条件	元ファイル処理判定	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	条件	message_id採番	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	画面	収集実行管理画面	アクター	配信基盤運用者	""	価値提供
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	イベント	出力ファイル受け渡し	外部システム	Producerシステム	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	イベント	ファイル取得	外部システム	リモートファイル領域	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	ファイル収集を自動実行させる	""	ファイルを収集する(Collect)	イベント	ファイルput受信	外部システム	受信ディレクトリ	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	収集ファイルを保全する	""	Archiveに保存する	情報	Archiveファイル	""	""	収集したファイルを配信前に必ず archive/ 配下へ Topic 別に保存する。同名ファイルの再出力は上書きせず、収集時刻 + Topic + 元ファイル名から採番した別 message_id の新しいメッセージとして扱い履歴を失わない。メッセージ配送状態を「収集済」から「Archive保存済」へ遷移させる	""
ファイル配信業務	ファイルを収集して配信するフロー	""	収集ファイルを保全する	""	Archiveに保存する	情報	メッセージ	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	収集ファイルを保全する	""	Archiveに保存する	情報	Topic	""	""	""	""
ファイル配信業務	ファイルを収集して配信するフロー	""	収集ファイルを保全する	""	Archiveに保存する	条件	Archive保存必須	""	""	""	""
