コンテキスト	情報	属性	関連情報	状態モデル	バリエーション	説明
配信構成管理	設定	ポーリング間隔、Archive保持期間(retention)、リトライ上限回数、メトリクスポート、Topic定義一覧、Subscription定義一覧、収集ソース定義一覧、認証情報参照、唯一性保証方式(方式A=外部クラスタ委譲 / 方式B=lease自動奪取)、lease TTL、heartbeat間隔、フォールバックポーリング間隔	Topic、Subscription、収集ソース、認証情報、Lock	""	唯一性保証方式	topics / 収集ソース / subscriptions / ポーリング間隔 / retention / リトライ / メトリクスポート / 認証情報参照を定義する単一YAML。収集ソース定義では収集モード(pull / push受信)・受信ディレクトリ・取り込みトリガー方式・フォールバックポーリング間隔・完了検知方式(completion: mode + suffix)も指定でき、Producerを変更せずに配信構成を増減・変更するために必要となる配信構成管理の起点。active/standby冗長化のため唯一性保証方式(方式A=外部クラスタ委譲 / 方式B=lease自動奪取)を選べ、方式Bではlease TTL・heartbeat間隔を指定する。lease TTLはNFS属性キャッシュ最大(actimeo既定60s)より十分大きく設定でき、省略時の既定TTLも属性キャッシュより大きく取る。同一バイナリで方式A/方式Bの両環境をカバーする
配信構成管理	Topic	Topic名、説明	収集ソース、Subscription、Archiveファイル、メッセージ、メトリクス	""	""	Producerから出力される論理的なファイル種別(orders / customers / invoices等)を表す配信構成の単位。Topicごとに収集ソースやSubscription一覧を解決するために管理する
配信構成管理	Subscription	Subscription名、配置先ディレクトリパス、所属Topic	Topic、Manifest	""	Subscription種別、Consumer取り込みタイミング	Consumerごとの配送先(current / next / test等)を表す単位。Topic配下に複数定義され、Fan-out配置先ディレクトリと配送の独立性(取り込みタイミング差の吸収)を管理するために必要。Subscription種別(current / next / test)で並行稼働・検証用途を区別し、Consumer取り込みタイミング(即時 / 夜間バッチ)の差はSubscription独立配送で吸収する
配信構成管理	収集ソース	ソース種別(FTP / SFTP / SCP / ローカルディレクトリ / push受信(inbox))、収集モード(pull / push)、接続先ホスト、対象ディレクトリパス、受信ディレクトリパス、元ファイル処理方式(回収 / 残す)、取り込みトリガー方式(イベント駆動(fsnotify) / フォールバックポーリング)、フォールバックポーリング間隔、完了検知方式(completion: mode(安定判定 / rename / doneマーカー)+ suffix(rename/marker のサフィックス、既定 .tmp / .done、設定可能))、安定待ち判定設定、除外パターン	Topic、認証情報、処理済み管理	元ファイル収集状態	収集ソース種別、元ファイル処理方式、取り込みトリガー方式、完了検知方式	Producerがファイルを出力する収集(Collect)元の定義。pull型(FTP/SFTP/SCP/ローカルディレクトリ)はfile-pubsubがList→Fetch→Deleteで取りに行き、push受信(inbox)モードはProducerが受信ディレクトリへ直接putしたファイルをfsnotifyイベント駆動+フォールバックポーリングのハイブリッドで取り込む。完了検知方式(mode: 安定判定/rename/doneマーカー、suffix: 一時拡張子・マーカー拡張子はProducer規約に合わせ設定可能)で完成ファイルのみ取得し、Topicごとに切り替え可能で後段(Archive / Fan-out / Manifest)をソース種別に依存させない。収集ソース上の元ファイルは元ファイル収集状態(書き込み中→収集可能→回収済 / 残置済)で管理し、安定待ち判定・除外パターン・完了検知方式と元ファイル処理方式の設定がこの遷移を決める
配信構成管理	認証情報	記述方式(平文 / 環境変数参照 / 鍵ファイルパス)、ユーザー名、パスワードまたは鍵ファイルパス	収集ソース	""	認証方式	収集ソースへ接続するための認証情報。認証方式はYAML平文記述も許容しつつ環境変数参照(${ENV_VAR})と鍵ファイルパス指定を推奨し、安全に扱うために必要
メッセージ配送管理	メッセージ	message_id(収集時刻 + Topic + 元ファイル名から採番)、Topic名、元ファイル名、収集時刻	Topic、Archiveファイル、Manifest、DLQ	メッセージ配送状態	""	収集したファイル1件を配送管理する単位。同名ファイルの再出力も別message_idの新しいメッセージとして扱うことで、上書きによる履歴消失を防ぎ監査・追跡可能性を維持するために必要。メッセージ配送状態(収集済→Archive保存済→配信中→配信済 / 配信失敗→リトライ中→DLQ隔離)を遷移させながら配送を進める
メッセージ配送管理	Manifest	message_id、Topic名、Subscription別配送状態(delivered / failed / dlq)、リトライ回数、配送日時、再送(Replay)記録	メッセージ、Topic、Subscription、DLQ	""	配信方式	メッセージ(収集ファイル)ごとのmessage_id / topic / 各Subscriptionの配送状態の履歴。statusコマンドでの配送状況確認、並行稼働中の障害調査・再送判断・監査・再起動時の二重配信防止(冪等)に必要。配信方式(通常配信(Fan-out) / 再送(Replay))のいずれの配送もManifestに記録する
メッセージ配送管理	DLQ	隔離メッセージ(message_id)、隔離理由、失敗回数、隔離日時	メッセージ、Manifest	""	""	配信がリトライ規定回数を超えて失敗したメッセージの隔離先。恒久的な失敗を滞留させずに運用者が対処(再送 / 破棄)を判断できるようにするために必要
メッセージ配送管理	処理済み管理	収集元ファイル識別子(ファイル名・収集元パス・doneマーカー名等)、処理済み判定日時	収集ソース、メッセージ	""	""	元ファイルを残す(copy)設定時や、push受信モードでdoneマーカーを残す設定時に、収集済みファイルを識別して同じファイルの重複収集・重複取り込みを防ぐための記録。push受信モードではfsnotifyイベント駆動とフォールバックポーリングが同一ファイルを二重検知した場合の重複取り込み防止にも使い、再起動後の冪等な処理再開にも使う
Archive管理	Archiveファイル	保存先パス(Topic別)、Topic名、message_id、元ファイル名、ファイル内容、保存日時、保持期限	Topic、メッセージ	Archiveファイル保持状態	""	収集したファイルを配信前にTopic別に必ず保存したもの。再送(Replay)・監査・障害復旧・差分比較の基盤となり、Archiveファイル保持状態(保持中→削除済)により保持期間(retention)超過分の安全な削除を管理し、長期運用でのディスク枯渇を防ぐ
